# Review queue from the independent hand corpus. These pairs are deliberately
# not encoded as productive spelling rules. `action` is conservative pending
# a language-owner decision; the source test data remains unchanged.
input	expected	issue	action
Helmåvvå	Oarjjevuodna	place-name/lexeme replacement	review expected lexeme
Jonatas	Johannes	different personal names	review expected name
Zealandan	Ådå Zealánda	adds a lexical component	review expected phrase
fámilljaavijsajn	familjahávsskudallam	different derivation/lexeme	review expected lexeme
iehtjamij	allasim	pronoun/lexeme replacement	review expected lexeme
ietjamij	allasim	pronoun/lexeme replacement	review expected lexeme
kakáo	kakávoj-kakávvu	multiple alternatives encoded as one target	split or remove target
klassifiserimmetodaj	vuogij	lexeme replacement	review expected lexeme
lavvu	låvdagoahte	lexeme replacement	review expected lexeme
luonddofenomenav	luondodáhpádusáv	lexeme replacement	review expected lexeme
lulleeuropealasj	euråvpålasj	drops the directional component	review expected lexeme
manusis	maŋŋutjissaj	unrelated-looking lexical replacement	review expected lexeme
metodaj	vuogij	lexeme replacement	review expected lexeme
máttegirjijn	matematihkkagirjijn	expands/replaces the lexical stem	review expected lexeme
moaddakulturalasjvuohta	moattekultuvralasj	changes derivation and word class	review expected form
oarrjelsámeguovlojs	oarjjelsámegiella	region-to-language lexeme replacement	review expected lexeme
registerijn	låhkusijn	lexeme replacement; conflicts with regisstarijn	review expected lexeme
riekknimmetodajt	vuogijt	lexeme replacement	review expected lexeme
satnem	sádnesvuohta	lexeme/derivation replacement	review expected lexeme
dáddal	dáttal-dáddala	multiple alternatives encoded as one target	split or remove target
eddik	ieddik-ieddiga	multiple alternatives encoded as one target	split or remove target
elektrovnålasj	elektronihkalasj	conflicts with generated gold elektråvnålasj	review normative variant
ådåjak	ådåjak-	incomplete compound fragment	review completion test
te	tiedja	underspecified two-letter source	review source typo
mmåånn	mån	pathological repeated-key input	keep only as robustness case
ááhhttttjjáássiimm	áhttjásim	pathological repeated-key input	keep only as robustness case
áájjáádduussáá	ájádusá	pathological repeated-key input	keep only as robustness case
resiprohka	resipråvkå	conflicts with resipråvkkå for the same source	review normative variant
jiegŋa-instrumentaj	jiegŋainstrumentaj	source is already accepted	review normative preference
jiegŋa-musijkka	jiegŋamusijkka	source is already accepted	review normative preference
