barnnásis	bárnnásis
Viedtjale	Viedtjala
uksa-gaskaj	uksagasskaj
ulmutj	ulmusj
vuorrasämos	vuorrasamos
Gall'	Galle
sämmeláhkáj	sämmiláhkáj
råvgo	roavgo
njubrre-biessev	nuobrrebiessev
njubrre-biessij	nuobrrebiessij
njubrre-biesse	nuobrrebiesse
gammbal-sjinn-båvsåjt	boares sassnebåvsåjt
vedij	vadi
tjåññgum	tjoaŋŋkum
roagáv	rågav
felus-gáraj	fielusgáraj
felus-gáráj	fielusgáraj
felus-gáras	fielusgáras
felus-gáráv	fielusgárav
felus-gára	fielusgára
dåmmtá	dåntå
Dåntá	Dånntå
dåntá	dånntå
dåntáj	dånntåj
dåntá	dånntå
dåntájna	dåntåjn
Njálmálásj	Njálmálasj
Teahterav	Teáhterav
teahter	teáhter
teahterav	teáhterav
teahtervuosádusájt	teáhtervuosádusájt
aktajn	aktan
diliv	dilev
drámáhtalasj	dramáhtalasj
drámátalasj	dramáhtalasj
dramatiserema	dramatiserima
buohtastahtet	buohtastahttet
geográfija	geografija
grámmátihkalasj	grammatihkalasj
grammátihkas	grammatihkas
grámátihkkagirjijt	grammatihkkagirjijt
ietjása	ietjasa
identifiseret	identifiserit
jabuorre	ja buorre
jagiellasujttuj	ja giellasujttuj
jaguoradallat	ja guoradallat
jalåhkkijgirjijt	ja låhkkijgirjijt
jalåhkåt	ja låhkåt
jaståhkat	ja ståhkat
jasåjådimijt	ja såjådimijt
jateahter	ja teáhter
jná	jna
läññga	länjggá
mediáj	medijaj
mediájda	medijajda
mediájt	medijajt
mediáv	medijav
miediajt	medijajt
multimedijáprográmma	multimedijaprográmma
multimedijáv	multimedijav
moattelágásjmediáv	moattelágásj medijav
moattelagásj	moattelágásj
låhkåmstrátegijaj	låhkåmstrategijaj
ádjektijva	adjektijva
ádjektijvva	adjektijvva
A'httjám	Áhttjám
ájvijsaj	ávijsaj
ájvijsajda	ávijsajda
álfábehtajn	alfabehtajn
álkkesártihkkalijt	álkkes artihkkalijt	
ánályserit	analyserit
ávijssasjáŋŋarijn	ávijssasjáŋŋarijn
ánnonsajt	annånsåjt
árenán	arenan
substántijva	substantijva
substántijvva	substantijvva
ságastallamijdagirjálasjvuoda	ságastallamijda girjálasjvuoda
ájggasasj	ájggásasj
Åbålasjkaraktera	Åbbålasjkaraktera
vuostasjgiellanfágan	vuostasjgiellafágan
trágedija	tragedija
tjálálasj	tjálalasj
tjálálalattjat	tjálalattjat
hávsskudallamprográmmáj	hávsskudallamprográmmaj
hárjjiidallat	hárjjidallat
lahkabirrásav	lahkabirrasav
kábáreav	kabareav
ibnnot	ibnnit
hárjjanit	hárjjánit
negatijvalasj	negativalasj
elektrovnålasj	elektråvnålasj
estehtalasj	estetalasj
ájggeguovdelis	ájggeguovddelis
positijvalasj	positivalasj
prahktihkalasj	praktihkalasj
práktihkalasj	praktihkalasj
práktijkalasj	praktihkalasj
tekstagiehtadallamprográmmaj	tækstagiehtadallamprográmmaj
oajvvelinjajt	oajvvelinjájt
plákáhtajn	plakáhtajn
plákáhtaj	plakáhtaj
plákáhtajt	plakáhtajt
propágándá	propagánnda
referánnsan	referánssan
respånsa	respånsså
ánálytalasj	analyhtalasj
sámegielavoahppat	sámegielav oahppat
árgumenteriji	argumenteriji
